file	assestment	status	result	language	context	target	processed	note	
DTS/Alligator/Test/app.test		Theorem	False	fof	(![a]:r(a))	(?[b]:(r(b)))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:type, u8:type, u9:type, u10:type, u11:type, u12:type, u13:type, u14:type, u15:[  u16:type ] =>type, u17:[  u18:type ] =>u15 u18 ] =>(u19:type )× u15 u19			
DTS/Alligator/Test/app2.test		Theorem	True	fof	(r(a))	(?[b]:(r(b)))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:type, u8:type, u9:type, u10:type, u11:type, u12:type, u13:type, u14:[  u15:type ] =>type, u16:type, u17:u14 u16 ] =>(u18:type )× u14 u18			
DTS/Alligator/Test/transitive2.test			True	fof	(p=>q),(q=>r)	(p=>r)	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:[  u6:u4 ] =>u3, u7:[  u8:u3 ] =>u2 ] =>[  u9:u4 ] =>u2			
DTS/Alligator/Test/or3.test			True	fof	(a|~b),~a	~b	[  u0:T, u1:type, u2:type, u3:type, u4:[  u5:(u6:[  u7:u3 ] =>⊥ )× [  u8:[  u9:u2 ] =>⊥ ] =>⊥ ] =>⊥, u10:[  u11:u3 ] =>⊥ ] =>[  u12:u2 ] =>⊥			
DTS/Alligator/Test/or2.test		CounterSatisfiable	False	fof	(a|~b),~a	b	[  u0:T, u1:type, u2:type, u3:type, u4:[  u5:(u6:[  u7:u3 ] =>⊥ )× [  u8:[  u9:u2 ] =>⊥ ] =>⊥ ] =>⊥, u10:[  u11:u3 ] =>⊥ ] =>u2			
DTS/Alligator/Test/or.test			True	fof	(a|b),~a	b	[  u0:T, u1:type, u2:type, u3:type, u4:[  u5:(u6:[  u7:u3 ] =>⊥ )× [  u8:u2 ] =>⊥ ] =>⊥, u9:[  u10:u3 ] =>⊥ ] =>u2			
DTS/Alligator/Test/transitive_7_18.test			True	fof		((p=>q)=>((q=>r)=>(p=>r)))	[  u0:T, u1:type, u2:type, u3:type, u4:type ] =>[  u5:[  u6:u4 ] =>u3, u7:[  u8:u3 ] =>u2, u9:u4 ] =>u2			
DTS/Alligator/Test/app3.test		Theorem	True	fof	(r(a))	(r(a))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:type, u8:type, u9:type, u10:type, u11:type, u12:type, u13:type, u14:[  u15:type ] =>type, u16:type, u17:u14 u16 ] =>u14 u16			
DTS/Alligator/Test/or20.test		CounterSatisfiable	False	fof	(a|~b),~a	b	[  u0:T, u1:type, u2:type, u3:type, u4:[  u5:(u6:[  u7:u3 ] =>⊥ )× [  u8:[  u9:u2 ] =>⊥ ] =>⊥ ] =>⊥, u10:[  u11:u3 ] =>⊥ ] =>u2			
DTS/Alligator/Test/lem_all.test			True	fof		(![p]:(p|~(p)))	[  u0:T, u1:type ] =>[  u2:type, u3:(u4:[  u5:u2 ] =>⊥ )× [  u6:[  u7:u2 ] =>⊥ ] =>⊥ ] =>⊥			
DTS/Alligator/Test/or4.test		Unsatisfiable	False	cnf	(big_f(f(a,b),f(b,c))),(big_f(f(b,c),f(a,c))),(~big_f(X,Y)|~big_f(Y,Z)|big_f(X,Z))	(~big_f(f(a,b),f(a,c)))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:[  u8:type, u9:type ] =>type, u10:type, u11:[  u12:type, u13:type ] =>type, u14:type, u15:type, u16:u7 u11 u10 u14 u11 u14 u15, u17:u7 u11 u10 u15 u11 u10 u14, u18:[  u19:[  u20:(u21:[  u22:u7 u5 u6 ] =>⊥ )× [  u23:[  u24:[  u25:(u26:[  u27:u7 u4 u5 ] =>⊥ )× [  u28:u7 u4 u6 ] =>⊥ ] =>⊥ ] =>⊥ ] =>⊥ ] =>⊥ ] =>⊥ ] =>[  u29:u7 u11 u10 u15 u11 u14 u15 ] =>⊥			
DTS/Alligator/Test/lem_exist.test			True	fof		(?[p]:(p|~(p)))	[  u0:T, u1:type ] =>(u2:type )× [  u3:(u4:[  u5:u2 ] =>⊥ )× [  u6:[  u7:u2 ] =>⊥ ] =>⊥ ] =>⊥			
../../TPTP-v7.3.0/Problems/SYN/SYN045-1.p		Unsatisfiable	False	cnf			[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:type, u8:type, u9:type, u10:type, u11:type ] =>(u12:(u13:(u14:[  u15:(u16:[  u17:u11 ] =>⊥ )× [  u18:u10 ] =>⊥ ] =>⊥ )× [  u19:(u20:[  u21:u14 ] =>⊥ )× [  u22:u11 ] =>⊥ ] =>⊥ )× [  u23:u13 ] =>⊥ )× [  u24:[  u25:(u26:[  u27:u12 ] =>⊥ )× [  u28:[  u29:u11 ] =>⊥ ] =>⊥ ] =>⊥ ] =>⊥			
../../TPTP-v7.3.0/Problems/SYN/SYN051-1.p		Unsatisfiable	False	cnf	(~p|big_f(a)),(~big_f(b)|p)		[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:type, u8:type, u9:type, u10:type, u11:[  u12:type ] =>type, u13:type, u14:type, u15:[  u16:[  u17:(u18:[  u19:u14 ] =>⊥ )× [  u20:u11 u13 ] =>⊥ ] =>⊥ ] =>⊥, u21:[  u22:[  u23:(u24:[  u25:u11 u10 ] =>⊥ )× [  u26:u14 ] =>⊥ ] =>⊥ ] =>⊥ ] =>(u27:[  u28:(u29:[  u30:u14 ] =>⊥ )× [  u31:u11 u9 ] =>⊥ ] =>⊥ )× [  u32:[  u33:(u34:[  u35:u13 u10 ] =>⊥ )× [  u36:[  u37:u15 ] =>⊥ ] =>⊥ ] =>⊥ ] =>⊥			
../../TPTP-v7.3.0/Problems/SYN/SYN079-1.p		Unsatisfiable	False	cnf	(big_f(f(a,b),f(b,c))),(big_f(f(b,c),f(a,c))),(~big_f(X,Y)|~big_f(Y,Z)|big_f(X,Z))		[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:[  u8:type, u9:type ] =>type, u10:type, u11:[  u12:type, u13:type ] =>type, u14:type, u15:type, u16:u7 u11 u10 u14 u11 u14 u15, u17:u7 u11 u10 u15 u11 u10 u14, u18:[  u19:[  u20:(u21:[  u22:u7 u5 u6 ] =>⊥ )× [  u23:[  u24:[  u25:(u26:[  u27:u7 u4 u5 ] =>⊥ )× [  u28:u7 u4 u6 ] =>⊥ ] =>⊥ ] =>⊥ ] =>⊥ ] =>⊥ ] =>⊥ ] =>[  u29:u7 u11 u10 u15 u11 u14 u15 ] =>⊥			
../../TPTP-v7.3.0/Problems/SYN/SYN064+1.p		Theorem	False	fof		(?[X,Y]:(big_p(X,Y)=>![Z,W]:big_p(Z,W)))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:type, u8:type, u9:[  u10:type, u11:type ] =>type ] =>(u12:type )× (u13:type )× [  u14:u9 u13 u12, u15:type, u16:type ] =>u9 u16 u15			
../../TPTP-v7.3.0/Problems/SYN/SYN919+1.p		Theorem	False	fof		((![X,Y]:(r(X,Y)=>r(Y,X))&![X,Y,Z]:((r(X,Y)&r(Y,Z))=>r(X,Z)))=>![X,Y]:(r(X,Y)=>r(X,X)))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:type, u8:type, u9:type, u10:type, u11:type, u12:type, u13:type, u14:type, u15:type, u16:type, u17:[  u18:type, u19:type ] =>type ] =>[  u20:[  u21:type, u22:type ] =>(u23:[  u24:u17 u22 u21 ] =>u17 u21 u22 )× [  u25:type, u26:type, u27:type, u28:(u29:u17 u26 u25 )× u17 u27 u26 ] =>u17 u27 u25, u30:type, u31:type, u32:u17 u31 u30 ] =>u17 u30 u30			
../../TPTP-v7.3.0/Problems/SYN/SYN925+1.p		Theorem	False	fof		(?[Y]:(p(Y)=>![X]:p(X)))	[  u0:T, u1:type, u2:type, u3:type, u4:type, u5:type, u6:type, u7:[  u8:type ] =>type ] =>(u9:type )× [  u10:u7 u9, u11:type ] =>u7 u11			
