２/に	ヲ格,ガ格#ト節,ガ格
ＫＯ/ＫＯ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格
ＨＩＴ/ＨＩＴ	ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
ＩＮ/ＩＮ	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
Ｈ/Ｈ	ト節,ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
ＯＨ/ＯＨ	ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
ＯＦＦ/ＯＦＦ	ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格
ＭＩＸ/ＭＩＸ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格
ＯＮ/ＯＮ	ヲ格,ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格
ＯＫ/ＯＫ	ニ格,ガ格#ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ト節,ガ格
ＰＯＰ/ＰＯＰ	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
ＰＬＡＹ/ＰＬＡＹ	ガ格#ヲ格,ガ格#ヲ格,ガ格
Ｐ/Ｐ	ガ格#ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
Ｏｐｅｎ/Ｏｐｅｎ	ニ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
ＯＰＥＮ/ＯＰＥＮ	ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格
ＰＲ/ＰＲ	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ガ格
ＴＥＬ/ＴＥＬ	ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
ＴＢ/ＴＢ	ニ格,ガ格#ガ格#ニ格,ガ格#ヲ格,ガ格
ＳＥＸ/ＳＥＸ	ニ格,ガ格#ニ格,ガ格#ガ格
ＵＰ/ＵＰ	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
Ｕターン/ゆーたーん	ヲ格,ガ格#ガ格#ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格
ｇｅｔ/ｇｅｔ	ガ格#ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
ｂｌｏｇ/ｂｌｏｇ	ガ格#ガ格#ガ格#ガ格#ヲ格,ガ格
Ｕｐ/Ｕｐ	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
ｉｎ/ｉｎ	ガ格#ニ格,ガ格
ｏｐｅｎ/ｏｐｅｎ	ヲ格,ガ格#ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格
ｈｉｔ/ｈｉｔ	ガ格
ｐ/ｐ	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
あがく/あがく	ニ格,ガ格#ヲ格,ガ格#ガ格#ト節,ガ格#ガ格
あたふた/あたふた	ガ格
あっけにとられる/あっけにとられる	ニ格,ガ格#ト節,ガ格#ニ格,ガ格
あっさり/あっさり	ガ格#ガ格
あぼーん/あぼーん	ガ格#ニ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ガ格
あくび/あくび	ニ格,ガ格#ニ格,ガ格
あざ笑う/あざわらう	ヲ格,ガ格#ヲ格,ガ格#ト節,ガ格#ヲ格,ガ格
あてがう/あてがう	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格
ｕｐ/ｕｐ	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
あしらう/あしらう	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
あやかる/あやかる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
いかれる/いかれる	ガ格#ガ格#ガ格#ガ格
あんまり/あんまり	ガ格#ガ格#ガ格
いなす/いなす	ヲ格,ガ格#ヲ格,ガ格
怒れる/いかれる	ニ格,ガ格#ガ格#ガ格
いかれる/いかれる	ニ格,ガ格#ガ格#ガ格
いとま/いとま	ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格
いう/いう	ガ格#ニ格,ガ格
いぢる/いぢる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
あんま/あんま	ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
あやす/あやす	ヲ格,ガ格
いつ/いつ	ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
ある/ある	ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
ありつける/ありつける	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
ありつく/ありつく	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
いじける/いじける	ガ格#ト節,ガ格
いきなり/いきなり	ニ格,ガ格#ガ格#ヲ格,ガ格
いぢめる/いぢめる	ヲ格,ガ格#ガ格#ヲ格,ガ格
いでる/いでる	ニ格,ガ格#ニ格,ガ格
うだる/うだる	ガ格#ガ格#ト節,ガ格#ニ格,ガ格
うっとり/うっとり	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
うずうず/うずうず	ガ格#ガ格
うねる/うねる	ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
いまだに/いまだに	ガ格#ガ格
いる/いる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
うなだれる/うなだれる	ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ガ格#ト節,ガ格
いらっしゃる/いらっしゃる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
うろちょろ/うろちょろ	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
うんざり/うんざり	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
犯す/おかす	ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
冒す/おかす	ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
侵す/おかす	ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
うんち/うんち	ガ格#ニ格,ガ格#ガ格
うんこ/うんこ	ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ガ格
ぇ/ぇ	ガ格#ガ格
うろたえる/うろたえる	ニ格,ガ格
うろつく/うろつく	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
おく/おく	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
おっき/おっき	ガ格#ガ格#ヲ格,ガ格#ガ格
おめかし/おめかし	ガ格
おじけ付く/おじけづく	ニ格,ガ格#ニ格,ガ格#ト節,ガ格
おまけ/おまけ	ガ格#ニ格,ガ格#ニ格,ガ格
おさらば/おさらば	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ガ格#ガ格
おののく/おののく	ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格
おどける/おどける	ト節,ガ格
おしゃべり/おしゃべり	ヲ格,ガ格#ガ格#ガ格#ガ格#ガ格#ト節,ガ格#ガ格#ガ格#ガ格
おしゃれ/おしゃれ	ガ格
おしっこ/おしっこ	ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格
かかわる/かかわる	ガ格#ガ格#ガ格
かがる/かがる	ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格
おんぶ/おんぶ	ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
かなり/かなり	ヲ格,ガ格#ニ格,ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
かすむ/かすむ	ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
おわび/おわび	ニ格,ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
かさつく/かさつく	ガ格#ガ格
かじかむ/かじかむ	ヲ格,ガ格#ガ格
かくまう/かくまう	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
かまける/かまける	ニ格,ガ格#ニ格,ガ格
かすめる/かすめる	ヲ格,ガ格#ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
お出かけ/おでかけ	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格
がちだ/がちだ~テ形	ガ格#ガ格#ガ格#ト節,ニ格,ガ格#ガ格
きっと/きっと	ガ格#ガ格
ぎょっと/ぎょっと	ト節,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
きらめく/きらめく	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
きら/きら	ヲ格,ガ格#ヲ格,ガ格
がたがた/がたがた	ガ格#ガ格#ガ格#ガ格
がんがる/がんがる	ニ格,ガ格#ガ格#ニ格,ガ格#ガ格#ガ格#ガ格#ガ格
きちんと/きちんと	ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
きゅんきゅん/きゅんきゅん	ニ格,ガ格
からかう/からかう	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
くたばる/くたばる	ニ格,ガ格
くしゃみ/くしゃみ	ニ格,ガ格#ニ格,ガ格
くぐもる/くぐもる	ガ格
くたびれる/くたびれる	ガ格#ガ格#ガ格#ガ格
潜れる/もぐれる	ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
くぐれる/くぐれる	ニ格,ガ格#ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
くすむ/くすむ	ガ格#ガ格
くっ付く/くっつく	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ニ格,ガ格
くぐる/くぐる	ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
くぐれる/くぐれる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
潜る/もぐる	ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
くぐる/くぐる	ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
くっ付ける/くっつける	ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
ぐれる/ぐれる	ニ格,ガ格#ニ格,ガ格#ガ格#ト節,ガ格#ニ格,ガ格#ガ格#ヲ格,ガ格
ぐずる/ぐずる	ガ格
繰れる/くれる	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ガ格
繰れる/くれる	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ガ格
暮れる/くれる	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ガ格
暮れる/くれる	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ガ格
刳れる/くれる	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ガ格
刳れる/くれる	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ガ格
くれる/くれる	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ガ格#ト節,ガ格
ぐらつく/ぐらつく	ガ格#ガ格#ニ格,ガ格#ガ格#ニ格,ガ格#ニ格,ガ格
こじつける/こじつける	ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ト節,ガ格#ニ格,ヲ格,ガ格
ぐずつく/ぐずつく	ガ格
けしかける/けしかける	ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ガ格
こする/こする	ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格
くねる/くねる	ニ格,ガ格
けなす/けなす	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格
げ/げ	ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格#ガ格
くべる/くべる	ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ガ格#ニ格,ヲ格,ガ格
ぐりぐり/ぐりぐり	ヲ格,ガ格
繰れる/くれる	ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
暮れる/くれる	ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
刳れる/くれる	ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
くれる/くれる	ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格#ト節,ニ格,ヲ格,ガ格
こすれる/こすれる	ニ格,ガ格#ヲ格,ガ格#ニ格,ガ格
熟する/じゅくする	ガ格#ニ格,ガ格
熟す/じゅくす	ガ格#ニ格,ガ格
こなす/こなす	ガ格#ニ格,ガ格
熟す/じゅくす	ガ格#ニ格,ガ格
こなす/こなす	ガ格#ニ格,ガ格
こびり付く/こびりつく	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
こと/こと	ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
こなれる/こなれる	ニ格,ガ格#ガ格
こびる/こびる	ニ格,ガ格#ニ格,ガ格#ニ格,ガ格
ごちゃごちゃ/ごちゃごちゃ	ガ格#ガ格#ガ格#ガ格
こわばる/こわばる	ニ格,ガ格#ニ格,ガ格
こらえる/こらえる	ヲ格,ガ格#ヲ格,ガ格#ヲ格,ガ格#ニ格,ヲ格,ガ格
