file	assestment	status	dneresult	dneurl	efqresult	efqurl	language	context	target	note	
../../TPTP-v7.3.0/Problems/SYN/SYN229-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN844-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN605-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN651-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN563-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN821-1.p		Satisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN251-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN428-1.p		Satisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN526-1.p		Satisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN492-1.p		Satisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN361+1.p		Theorem	UNKNOWN		UNKNOWN		fof		((?[V]:![X]:big_p(X,V)&![X]:(big_s(X)=>?[Y]:big_q(Y,X))&![X,Y]:(big_p(X,Y)=>~big_q(X,Y)))=>?[U]:~big_s(U))			
../../TPTP-v7.3.0/Problems/SYN/SYN327-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN481-1.p		Unsatisfiable	UNKNOWN		UNKNOWN		cnf					
../../TPTP-v7.3.0/Problems/SYN/SYN044+1.p		Theorem	UNKNOWN		UNKNOWN		fof	(q=>r),(r=>(p&q)),(p=>(q|r)),(q=>r),(r=>(p&q)),(p=>(q|r))	(p<=>q)			
../../TPTP-v7.3.0/Problems/SYN/SYN721+1.p		Theorem	UNKNOWN		UNKNOWN		fof		((r(a,b)&![X]:(?[Y]:r(X,Y)=>q(X,X))&![U,V]:(q(U,V)=>![Z]:r(Z,V)))=>?[W]:(r(b,W)&q(W,a)))			
